,@id,prefLabel,udunits
128,http://vocab.nerc.ac.uk/collection/P06/current/UABB/,Degrees True,degree True
129,http://vocab.nerc.ac.uk/collection/P06/current/RAPS/,Radians per second,radian s-1
130,http://vocab.nerc.ac.uk/collection/P06/current/JPKG/,Joules per kilogram,J kg-1
131,http://vocab.nerc.ac.uk/collection/P06/current/UNBQ/,Nanobecquerels per litre,nBq l-1
132,http://vocab.nerc.ac.uk/collection/P06/current/WAPM/,Watts per metre,W m-1
133,http://vocab.nerc.ac.uk/collection/P06/current/UPCH/,Percent per hour,% hour-1
134,http://vocab.nerc.ac.uk/collection/P06/current/NSQD/,Nanomoles per square metre per day,nmol m-2 day-1
135,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/,per cubic metre,m-3
136,http://vocab.nerc.ac.uk/collection/P06/current/M2MM/,Moles per square metre per second per metre,mol m-2 s-1 m-1
137,http://vocab.nerc.ac.uk/collection/P06/current/WAPK/,Watts per metre per Kelvin,W m-1 degree_K-1
138,http://vocab.nerc.ac.uk/collection/P06/current/JKGK/,Joules per kilogram per Kelvin,J kg-1 degree_K-1
139,http://vocab.nerc.ac.uk/collection/P06/current/UMBQ/,Millibecquerels per litre,mBq l-1
140,http://vocab.nerc.ac.uk/collection/P06/current/GQCY/,Grams per square centimetre per year,g cm-2 year-1
141,http://vocab.nerc.ac.uk/collection/P06/current/KSXX/,Kelvin second,degree_K s
142,http://vocab.nerc.ac.uk/collection/P06/current/UHMS/,Hours Minutes Seconds,hour Minutes Seconds
143,http://vocab.nerc.ac.uk/collection/P06/current/PGKG/,Picograms per kilogram,pg kg-1
144,http://vocab.nerc.ac.uk/collection/P06/current/HPAH/,Hectopascals per hour,hPa hour-1
145,http://vocab.nerc.ac.uk/collection/P06/current/SQUM/,Square micrometres,um2
146,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/,Micromoles per kilogram,umol kg-1
147,http://vocab.nerc.ac.uk/collection/P06/current/MPMX/,Moles per mole,mol mol-1
148,http://vocab.nerc.ac.uk/collection/P06/current/DBPY/,Decibars per year,dbar year-1
149,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,Number per millilitre,number ml-1
150,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,Metres per second,m s-1
151,http://vocab.nerc.ac.uk/collection/P06/current/BSM3/,Becquerels second per cubic metre,Bq s m-3
